,city,year,male_worker_earnings,female_worker_earnings,pct_below_pov,num_housing_units,num_married_housing_units,avg_household_size,lt_10k_income,gt_10k_lt_15k_income,gt_15k_lt_25k_income,gt_25k_lt_35k_income,gt_35k_lt_45k_income,gt_50k_lt_75k_income,gt_75k_lt_100k_income,gt_100k_lt_150k_income,gt_150k_lt_200k_income,gt_200k_income,men_not_married,married_but_separated,divorced,est_in_preschool,est_in_kindergarten,est_in_1_8,est_in_9_12,est_in_college,pct_lt_ninth_grade,pct_some_high_school,pct_high_school,pct_some_college,pct_associates,pct_bachelors,pct_graduate,unemployment_rate,pct_in_ag_ind,pct_in_construction,pct_in_manufacturing,pct_in_wholesale_trade,pct_in_retail,pct_in_transportation,pct_in_information,pct_in_finance,pct_in_science,pct_in_education,pct_in_arts,pct_in_pub_ad,state,county
0,albemarle,2009,32296,51355,(X),41613,23837,3.05,36295,2519,1760,2360,2057,5178,6503,5651,5218,2612,20022,866,40976,1253,9643,4119,12175,61194,4.5,17.6,16.3,6.2,24.7,26.1,(X),(X),45707,0.9,9.0,3.4,1.8,8.9,3.5,2.3,6.3,12.3,33.4,4.9,51,003
1,albemarle,2010,53850,41920,5.5,42175,24377,3.14,2512,1589,3081,3872,4344,7261,4672,5250,2142,2948,21796,646,42736,1263,11169,4711,12016,66667,3.5,17.7,19.0,5.4,26.8,24.6,93.5,7.2,1.8,6.7,2.8,1.1,11.4,2.4,2.2,6.9,14.4,35.7,6.7,2.8,51,003
2,albemarle,2011,55530,52211,3.8,42468,22450,3.23,2692,1915,2805,2875,4318,5612,4485,5379,3873,3441,19613,967,43950,713,10048,4584,14133,65614,5.7,17.4,13.5,5.2,26.2,27.4,89.6,4.9,1.3,7.0,3.1,0.8,7.4,2.1,1.8,5.0,14.0,37.5,10.5,5.3,51,003
3,albemarle,2012,59828,39656,6.1,43302,26335,2.96,1757,1403,2232,3012,4835,6433,5116,7322,2815,3449,23364,1073,45010,1388,10174,5320,13381,66574,5.1,18.5,15.0,7.1,27.1,25.0,92.7,3.9,1.5,7.2,4.8,1.6,8.1,2.5,2.1,5.1,12.9,37.0,8.0,5.3,51,003
4,albemarle,2013,52453,46615,8.2,43483,25853,2.92,2452,977,2065,3582,4092,7924,5087,6214,3181,3448,22347,810,44718,1508,9444,4909,13861,68987,5.6,19.8,14.0,4.5,24.2,28.5,91.0,3.0,1.6,5.4,3.8,2.4,7.1,2.3,1.0,7.0,12.1,36.6,9.8,6.1,51,003
5,albemarle,2014,57240,45361,7.9,43919,25660,2.98,2687,1417,2794,2928,5510,7301,5220,5312,2361,4038,21824,848,46224,1066,10437,4699,12996,70340,4.5,19.2,13.5,6.7,25.1,25.4,89.9,5.0,1.4,5.3,3.3,1.5,10.5,4.1,2.3,6.8,12.8,33.5,8.7,3.2,51,003
6,albemarle,2015,75798,49929,6.1,44260,26088,2.99,2892,425,2739,2293,5789,7115,4987,5810,3435,4431,22550,1084,46381,1288,9497,4365,12305,71011,3.8,15.6,18.5,7.5,26.4,25.3,93.3,3.3,0.4,4.9,4.7,1.7,10.1,2.3,2.0,5.5,11.8,37.2,9.9,3.7,51,003
7,albemarle,2016,67131,46187,4.3,44685,23652,3.24,1434,1020,2854,3092,5123,7286,5510,6907,2682,4410,21163,1027,47007,1427,10638,4771,11264,72178,5.6,15.4,17.9,3.9,26.3,26.2,89.6,3.3,2.3,4.6,3.5,1.2,11.2,1.9,1.3,6.7,13.6,32.3,11.4,5.5,51,003
8,albemarle,2017,56190,49663,5.6,45366,26203,3.06,1594,912,2842,3796,3612,7337,5119,7393,4345,4241,24868,788,47664,1069,10063,5409,14042,71816,5.5,16.7,15.8,4.4,32.2,23.0,92.1,2.7,1.8,6.0,5.5,1.1,8.6,2.2,1.1,5.2,11.9,37.1,10.1,3.7,51,003
9,albemarle,2018,52173,51916,6.4,46081,26631,2.90,1475,928,3710,3462,4344,6000,6484,6452,3464,5637,20995,2282,48096,984,9563,4478,13238,73874,6.4,15.4,13.8,5.0,28.7,28.3,91.1,1.4,0.5,6.6,3.1,1.1,8.9,2.7,0.9,5.2,14.5,33.6,11.7,4.7,51,003
10,albemarle,2019,63466,53973,2.1,47090,22481,2.34,1360,1277,2499,2334,4073,7200,6379,7153,5197,6282,15306,69,4264,2337,1081,9802,5822,13127,2.1,2.7,15.3,15.2,4.1,30.1,30.4,2.8,2.2,5.5,6.0,1.0,8.1,3.2,0.8,8.1,11.7,38.1,7.0,3.8,51,003
11,albemarle,2021,80169,62685,2.9,48420,21597,2.30,1053,730,2280,3040,4446,6902,5598,7999,6143,7004,16931,147,3604,1539,1393,9965,6015,14547,1.3,4.3,16.8,13.1,7.1,27.6,29.9,2.9,1.2,3.7,5.1,1.8,8.4,2.7,1.7,7.4,16.7,36.1,6.2,4.5,51,003
12,albemarle,2022,75038,60607,5.1,49217,21573,2.38,1947,1098,2147,2868,3234,7182,5636,8046,4371,8649,18324,764,2350,1830,1752,8388,6479,12160,3.1,2.6,15.3,13.6,5.5,30.6,29.2,2.1,0.6,4.2,4.3,1.5,6.9,2.3,2.1,6.1,18.8,36.1,7.1,4.3,51,003
13,albemarle,2023,77551,65571,5.2,50048,24404,2.31,1726,1457,2192,1966,4466,6140,4668,9512,6004,8769,14668,922,3728,2134,1147,10884,4963,11743,2.0,4.4,14.5,11.8,5.4,29.0,32.8,2.5,1.2,7.4,4.4,0.7,10.2,3.2,3.2,5.8,13.8,33.0,7.7,4.2,51,003
14,arlington,2009,53566,71361,(X),103813,38713,3.39,90561,4313,1503,2933,3298,6609,14763,14209,19335,10159,37352,1146,92005,2162,13169,8565,21813,159898,3.2,11.8,9.0,3.6,34.1,34.9,(X),(X),135567,0.5,4.0,1.7,0.4,5.2,1.6,3.8,9.1,26.9,13.2,6.6,51,013
15,arlington,2010,73658,62133,6.1,105490,42683,3.01,3126,1527,4597,3601,6389,15869,13823,20204,9379,14467,36988,1173,90430,1572,13687,5949,16732,156732,4.4,8.9,9.7,3.4,33.0,36.9,92.0,4.2,0.1,4.5,2.1,0.9,6.1,1.9,2.8,5.8,24.5,17.8,7.6,17.8,51,013
16,arlington,2011,81465,62031,4.6,106720,41499,3.23,2915,1426,4556,4129,6079,12387,13922,16543,11773,17656,41422,1422,92666,2075,13440,5971,19711,161950,3.1,10.1,7.8,3.9,33.9,36.5,92.2,3.4,0.1,3.7,0.7,0.7,3.6,1.2,2.8,8.1,29.2,17.9,6.8,19.3,51,013
17,arlington,2012,87362,65904,6.2,107734,42934,3.12,3033,1914,4698,4308,7884,12957,12533,18107,13420,16515,38769,1179,95048,2488,14091,5742,23391,167585,2.8,9.0,8.1,3.2,34.5,37.7,92.4,4.2,0.0,3.1,2.2,0.5,6.1,1.9,2.9,8.3,29.8,14.4,6.8,16.4,51,013
18,arlington,2013,89109,75891,8.2,109689,48136,3.00,4281,1830,4539,4472,5586,12344,13829,19796,12034,20262,41960,1115,96467,2415,13403,6214,19480,169610,1.8,8.3,9.2,3.7,35.2,39.1,95.6,3.5,0.2,4.1,2.7,1.0,3.8,1.4,3.5,7.0,29.5,14.7,10.0,15.9,51,013
19,arlington,2014,88177,74247,7.1,110597,44313,3.06,4027,1868,4422,4021,6022,12693,11810,23743,13396,18730,41923,893,96658,2246,15238,5682,19491,170324,2.1,8.9,9.9,3.5,34.8,36.7,93.7,3.2,0.1,4.9,2.2,1.2,4.4,2.3,3.8,6.5,26.3,14.9,9.3,17.0,51,013
20,arlington,2015,86926,75111,3.8,112517,45803,3.06,4457,1220,4207,3600,5265,14949,13921,21091,15083,19615,43224,984,97360,3540,13654,6952,16546,171583,2.7,6.6,9.3,3.3,34.5,39.0,92.6,4.1,0.1,5.7,2.1,0.8,3.7,1.8,2.9,9.2,27.9,15.1,6.5,17.6,51,013
21,arlington,2016,98623,80167,4.5,112970,50440,2.95,4874,928,3565,4830,6127,11785,13798,21663,14000,21909,47502,1061,97716,3070,16469,6661,15606,170778,2.2,9.2,7.7,2.8,33.9,40.4,94.0,2.8,0.3,4.3,1.5,1.2,3.6,2.0,3.5,6.6,30.1,15.6,7.5,16.1,51,013
22,arlington,2017,90956,76438,2.6,114002,48380,3.05,4416,1373,3557,3804,5770,12524,12883,22307,13993,24123,46084,1520,100195,2425,18471,7222,17887,173672,2.3,7.5,6.6,3.5,35.5,40.5,93.4,2.5,0.0,3.9,2.2,0.6,4.3,2.8,3.0,5.7,31.8,14.2,8.2,16.5,51,013
23,arlington,2018,97299,80892,4.0,116543,51898,2.90,3390,2107,4418,2376,6053,14355,11363,23106,16971,25801,45289,1460,99925,2200,17936,7457,15885,173634,1.4,8.6,7.4,3.3,35.5,40.7,95.4,2.0,0.3,4.3,2.9,0.4,4.6,2.5,3.7,6.9,28.0,14.6,6.7,16.8,51,013
24,arlington,2019,91631,79572,6.5,118883,41865,2.08,4857,2372,4087,3586,5602,15013,11915,21012,16578,26865,47361,507,5763,4623,2457,20094,7140,17690,3.3,2.2,7.2,7.8,4.6,34.8,40.1,2.2,0.2,3.1,2.1,0.6,4.2,1.9,3.2,6.1,31.8,14.6,6.8,18.9,51,013
25,arlington,2021,103055,91664,5.6,119446,40178,2.12,4621,1812,2500,3227,5821,12429,11943,21761,13790,30492,45623,995,6422,3652,2762,17676,8602,15144,3.4,1.3,7.4,7.5,3.8,34.9,41.7,3.4,0.0,2.8,2.7,0.4,3.7,1.5,3.3,8.9,31.2,16.3,6.1,16.5,51,013
26,arlington,2022,114766,96740,4.5,122458,38932,2.05,4895,1989,3146,4019,5231,9344,13199,21345,15318,34018,47409,1204,5684,2988,2599,18873,8036,17433,2.4,1.9,7.0,7.5,3.0,35.7,42.6,2.0,0.2,2.9,3.2,0.6,3.7,1.9,2.8,7.2,31.3,16.2,6.3,16.6,51,013
27,arlington,2023,111476,97841,4.4,123966,42925,2.03,4227,1979,3432,3921,4622,9404,11996,20986,18709,34821,43984,1563,5568,3370,2857,18208,9605,16535,2.6,1.6,7.9,7.0,2.9,36.8,41.2,3.6,0.2,4.5,2.8,0.2,4.8,2.3,2.9,7.0,28.7,16.7,6.2,18.0,51,013
28,augusta,2009,28305,42369,(X),30798,20068,2.90,27786,1690,1519,3030,2984,4747,6455,4343,2103,649,16969,1408,28451,1113,6499,3561,2248,50823,10.8,39.9,17.0,6.0,11.2,4.5,(X),(X),32924,2.0,8.6,22.3,2.2,14.0,5.6,1.2,4.5,5.5,20.6,5.2,51,015
29,augusta,2010,41036,32366,7.4,31352,19870,3.04,1877,1043,3289,2910,4797,6349,3933,2827,609,125,18317,1375,29577,804,6369,3784,2985,52952,9.3,41.9,18.3,5.6,12.7,6.8,85.2,8.5,2.6,6.9,19.2,1.8,14.5,4.9,1.9,4.5,7.3,20.6,5.7,4.2,51,015
30,augusta,2011,40767,35103,8.6,31664,20938,2.88,1759,1382,3131,3301,4826,6277,3601,3152,651,365,17985,1005,30124,454,6534,4104,3475,53262,11.6,39.8,16.8,6.1,14.2,5.8,82.6,4.3,4.0,6.7,14.9,1.7,14.1,6.5,1.1,4.3,6.2,23.5,7.2,5.8,51,015
31,augusta,2012,39045,35580,7.1,31576,22484,2.71,1648,1453,2431,4388,5304,5988,3723,2467,977,541,17393,958,30328,954,6653,3916,2055,53119,9.2,45.3,14.6,5.3,14.2,6.6,86.2,5.6,3.1,8.2,16.9,1.1,12.1,5.7,2.0,3.2,9.3,26.9,6.3,2.2,51,015
